Mar 30 03:58:10 3dr_solo local0.info +532 pixrc: main: built Jan 26 2020 18:39:40
Mar 30 03:58:10 3dr_solo local0.info +549 pixrc: main: rcSourceIps: 10.1.1.1,127.0.0.1
Mar 30 03:58:10 3dr_solo local0.info +549 pixrc: main: rcDestPort:  5005
Mar 30 03:58:10 3dr_solo local0.info +553 pixrc: main: rcDsmDev:    /dev/ttymxc2
Mar 30 03:58:10 3dr_solo local0.info +553 pixrc: main: Throttle PWM in  1000...2000
Mar 30 03:58:10 3dr_solo local0.info +554 pixrc: main:          PWM out 1000...1900
Mar 30 03:58:10 3dr_solo local0.info +554 pixrc: main: Other    PWM in  1000...2000
Mar 30 03:58:10 3dr_solo local0.info +554 pixrc: main:          PWM out 1000...2000
Mar 30 03:58:10 3dr_solo local0.info +554 pixrc: udp: listening on port 5005
Mar 30 03:58:11 3dr_solo local0.info +003 pixrc: serial: started
Mar 30 03:58:13 3dr_solo local0.info +735 pixrc: cmd: uplink attached
Mar 31 03:40:07 3dr_solo local0.info +289 pixrc: a:20,m:38,n:500,u:0,d:0,o:0,q:2496,udp=38158,ser=20643
Mar 31 03:40:17 3dr_solo local0.info +289 pixrc: a:20,m:35,n:500,u:0,d:0,o:0,q:0,udp=34838,ser=20749
Mar 31 03:40:27 3dr_solo local0.info +289 pixrc: a:20,m:41,n:500,u:0,d:0,o:0,q:2496,udp=40701,ser=20855
Mar 31 03:40:37 3dr_solo local0.info +289 pixrc: a:20,m:36,n:500,u:0,d:0,o:0,q:0,udp=36265,ser=20919
Mar 31 03:40:47 3dr_solo local0.info +289 pixrc: a:20,m:37,n:500,u:0,d:0,o:0,q:2496,udp=37494,ser=21160
Mar 31 03:40:57 3dr_solo local0.info +290 pixrc: a:20,m:41,n:500,u:0,d:0,o:0,q:2496,udp=41356,ser=20991
Mar 31 03:41:07 3dr_solo local0.info +289 pixrc: a:20,m:54,n:500,u:0,d:0,o:0,q:2496,udp=48600,ser=21116
Mar 31 03:41:17 3dr_solo local0.info +289 pixrc: a:20,m:31,n:500,u:0,d:0,o:0,q:0,udp=31097,ser=20853
Mar 31 03:41:27 3dr_solo local0.info +289 pixrc: a:20,m:42,n:500,u:0,d:0,o:0,q:2496,udp=42193,ser=20774
Mar 31 03:41:37 3dr_solo local0.info +290 pixrc: a:20,m:38,n:500,u:0,d:0,o:0,q:0,udp=38211,ser=20837
Mar 31 03:41:47 3dr_solo local0.info +290 pixrc: a:20,m:45,n:500,u:0,d:0,o:0,q:2496,udp=44828,ser=20928
Mar 31 03:41:57 3dr_solo local0.info +294 pixrc: a:20,m:41,n:500,u:0,d:0,o:0,q:2496,udp=40532,ser=20856
Mar 31 03:42:07 3dr_solo local0.info +290 pixrc: a:20,m:40,n:500,u:0,d:0,o:0,q:2496,udp=40373,ser=20965
Mar 31 03:42:17 3dr_solo local0.info +290 pixrc: a:20,m:40,n:500,u:0,d:0,o:0,q:2496,udp=40492,ser=20797
Mar 31 03:42:27 3dr_solo local0.info +290 pixrc: a:20,m:45,n:500,u:0,d:0,o:0,q:2496,udp=44546,ser=20939
Mar 31 03:42:37 3dr_solo local0.info +290 pixrc: a:20,m:36,n:500,u:0,d:0,o:0,q:0,udp=36331,ser=20951
Mar 31 03:42:47 3dr_solo local0.info +290 pixrc: a:20,m:34,n:500,u:0,d:0,o:0,q:0,udp=34281,ser=20869
Mar 31 03:42:57 3dr_solo local0.info +290 pixrc: a:20,m:32,n:500,u:0,d:0,o:0,q:0,udp=31936,ser=21402
Mar 31 03:43:07 3dr_solo local0.info +290 pixrc: a:20,m:33,n:500,u:0,d:0,o:0,q:0,udp=33226,ser=20818
Mar 31 03:43:17 3dr_solo local0.info +290 pixrc: a:20,m:51,n:500,u:0,d:0,o:0,q:2496,udp=47587,ser=20853
Mar 31 03:43:27 3dr_solo local0.info +290 pixrc: a:20,m:37,n:500,u:0,d:0,o:0,q:2496,udp=37278,ser=20628
Mar 31 03:43:37 3dr_solo local0.info +290 pixrc: a:20,m:36,n:500,u:0,d:0,o:0,q:0,udp=36336,ser=20954
Mar 31 03:43:47 3dr_solo local0.info +290 pixrc: a:20,m:31,n:500,u:0,d:0,o:0,q:0,udp=31181,ser=20803
Mar 31 03:43:57 3dr_solo local0.info +294 pixrc: a:20,m:30,n:500,u:0,d:0,o:0,q:0,udp=29851,ser=20819
Mar 31 03:44:07 3dr_solo local0.info +292 pixrc: a:20,m:51,n:500,u:0,d:0,o:0,q:2496,udp=47427,ser=20827
Mar 31 03:44:17 3dr_solo local0.info +291 pixrc: a:20,m:35,n:500,u:0,d:0,o:0,q:0,udp=34651,ser=20741
Mar 31 03:44:27 3dr_solo local0.info +291 pixrc: a:20,m:31,n:500,u:0,d:0,o:0,q:0,udp=31116,ser=21384
Mar 31 03:44:37 3dr_solo local0.info +291 pixrc: a:20,m:52,n:500,u:0,d:0,o:0,q:2496,udp=44955,ser=21123
Mar 31 03:44:47 3dr_solo local0.info +291 pixrc: a:20,m:43,n:500,u:0,d:0,o:0,q:2496,udp=42976,ser=20646
Mar 31 03:44:57 3dr_solo local0.info +293 pixrc: a:20,m:29,n:500,u:0,d:0,o:0,q:0,udp=29191,ser=20722
Mar 31 03:45:07 3dr_solo local0.info +291 pixrc: a:20,m:47,n:500,u:0,d:0,o:0,q:2496,udp=44255,ser=20980
Mar 31 03:45:17 3dr_solo local0.info +293 pixrc: a:20,m:38,n:500,u:0,d:0,o:0,q:2496,udp=38337,ser=26205
Mar 31 03:45:27 3dr_solo local0.info +293 pixrc: a:20,m:31,n:500,u:0,d:0,o:0,q:0,udp=30974,ser=21386
Mar 31 03:45:37 3dr_solo local0.info +291 pixrc: a:20,m:43,n:500,u:0,d:0,o:0,q:2496,udp=42922,ser=20723
